,2020-05-26
74,杨家大跃儿：提高临床护士薪资，坐办公室的，没有风险的护士，赚的都快比临床的高了，谁还爱做这个行业啊？
75,橘子汽水小奶猫：提高工资待遇才是王道！！！！！
76,nounougogogo：学了，一本护理，现在却找不到工作
77,拉屎小达人就是我：先长点工资再说吧
78,ERNISHIANYELIDEGUANG：医院水深着呢，想学护理专业吧家里没有关系或者没有研究生以上学历的，我劝你早点选个其他专业…
79,阿茹530：说护士就业前景好的一定不是护士，干着最累的活过着最没尊严的生活拿着最低的工资，只有别人骂你的份没有你回别人的理由
80,_装满星星的口袋：提高地位吧。连医院内对医护都有差别，患者也是对医生态度会更好一些。比如男护，其实医院需要大量男护，但因为社会对护理行业的普遍认知，导致对男护有一种说不清道不明的奇怪且隐晦的看法，以至于很多男性根本不会选择这个行业。
81,一个肥宅的日常：明人不说暗话  把医护待遇提高了 再来bibi吧  真的是食肉者鄙
82,妍盈：麻烦了解下国外的护士收入再来说建议大家都去做护士行不？我们是操着卖白粉的心，挣得卖白菜的钱，还没有编制。
83,天天被使唤的LV：太累了，希望付出的努力能有相应的回报
84,当地一小有名气的可爱鬼：就业前景好？除非关系硬特别好才能有机会进个公立医院呢，我们这儿一个县人民医院，想进去，不但要关系特别硬，还要花二十万。算了吧您可真说得出
85,锦鲤美少女xcz：谁敢选，一不小心就被人捅一刀，高危职业啊
86,qi字不好写：待遇是一方面，希望这行社会地位提高一点倒是真的
87,Faye_桐：基本工资低的都说不出口，上个班天天跟个老妈子一样啥都得管，发钱的时候抠抠搜搜的，查岗查的比谁都勤，白班查，小夜查，大夜查监控，有时候忙得要死还得给领导背书，病人们还得配合回答问题，一个不乐意就扣分，哪是上班，就是找罪受的
88,刘小畅1989：某地某三级医院急诊科合同制护士，工龄8年，工资2000，奖金1000+，每天抢救，挨打挨骂没完，医院不给同工同酬，没有公积金，取暖费、薪级工资比正式编制少，绩效团队压榨护士，不光是我们科，同医院内科，80-90个病人，奖金也不过就3000+，大家都是人，说风凉话的人，如果是你们的孩子你还这么说么？
89,是玲珑姐姐呀：时光能倒流，绝不再选择学医，其中苦楚只有围城内的懂，外行看热闹…
90,琼琼的朋友圈：光学有什么用，你们倒是招人啊？？？？？
91,你啊你啊你呢：你先把小地方医院公开招聘做好再说。大城市招聘还多一些，小的地方护理想进医院很难。什么院长主任的孩子亲戚，当地领导的亲戚都塞满了，人家要人根本不公开发布招聘公告的。
92,芊芊艳阳：那么多人学护理，大医院根本进不去，学着干嘛
93,fkhsc：前景好？？搞笑吗
94,爷们越努力越幸运-53719：做为应届毕业生，我怎么感觉护士很多但是没医院要呢
