,2020-01-30
163,陆晚晚晚晚：趁着这条呼吁下，大家关注下湖北和其他地方农村的人吧！他们医疗条件不好，又买不到口罩，而且没有任何发声渠道，他们不会发微博朋友圈上豆瓣。最心酸的是，他们是最认命的一群人，得了病可能也会觉得听天由命！默默地生存，又默默地离开。
164,52016626251-王蠢源：一个字，惨，这是没想到的
165,共3条回复
166,青青原上草_一岁一枯荣：确诊都如此，更别说隔离疑似病例了，心疼武汉人民
167,大大大大大子：这就理解为什么有人逃出来了，毕竟医疗资源严重不足
168,共1条回复
169,苏隐Mmy：十四亿人，就想吧，平时感冒去医院啥样？
170,52016626251-王蠢源：真是，万万没想到，比想想的差太远，，哎，70年了，一个字，惨
171,共4条回复
172,原就是原来的原：心疼武汉的朋友们 除了每天刷新闻什么也做不了 太难过了
173,奈何今秋凉：我最喜欢的还是凤凰网！真实
174,雷秀曼敦：凤凰不是以前的凤凰了。不过比阳视好点罢了，跟澎拜网差不多吧
175,晚安晚安晚安晚安啊啊：只能等新医院造好啊 唉
176,52016626251-王蠢源：那也缺人手，把党员组织起来做志愿者吧，
177,lb早睡早起V：最开始8个人定位谣言时多动动脑子多好
178,我叫甘思妮：关键那8个人全是医生
179,52016626251-王蠢源：哎，一个字惨，真没想到这么落后，吹吧，
180,共3条回复
181,陈YY子：武汉现在确诊5000多了～每天还能新增1000～新增数不下来的话～金木水火土神全建都不够
182,共1条回复
183,可能否丶丿：感觉不能生病，现在床位不够，不能自愈的话就只能等死吗
184,52016626251-王蠢源：多看算老年？印象中怎么也得80
185,小Q9876543210：就是怎么回事，医生也这么说没有特效药，就靠抵抗力，老年人很难扛过去
186,偏偏喜欢你一生：现在床位还是紧缺。
187,吴孙长卿：没办法二个医院最快也要二号
188,AllenJ处于饥饿中：现在这种情况在武汉不算少数吧？所以要抓紧赶工造医院扩床位收治肺炎病人，看来武汉确诊得病的人数还要继续攀升！
189,明七笑：还是医疗资源跟不上啊，要不说全国都去驰援呢。
190,我有一只大汪和小喵：这才是最真实的，口罩消毒水酒精药店能买到太难太难了，我都不知道去哪里买，哎
191,lover_许下承诺_小政子：能怎么办？如果有床会不让住？？
192,梅兰不芳：确诊的增速这么快，粗算一下，火神雷神医院都不够用啊！
193,我不是不简单的帅：真实，但无奈！
194,Dreamweaver-ing：这才是武汉真实的情况，我在知乎上面看了很多，都是有这个病医院没法看，医院人潮汹涌，排上队做不了检查不给确诊单没有病床，病人很绝望，我不怕被封号，有本事把这个病搞起来，就要有本事管理有本事治理，老百姓不是去年死的全中国的猪！
195,糗糗叔：多一些真实的报道！@创业家传媒 @每日经济新闻 @头条新闻 @新闻晨报 @央视新闻 @中国新闻周刊 @紫光阁 @创业家传媒 @中国新闻网 我们不需要煽情！做新闻真实就行！
196,zhangwei198609：蕲春县已经确诊感染好多人，道路都堵住挖断了。还是很多人步行往周边外跑😱😱
197,嗨可乐加冰：事实就是如此！！
198,jane_201416：官方数字不包括没得到及时救治的人
199,孟冬9：唉
200,河豚喵的喵：@央视新闻
201,馋豆JL：特殊时期，高龄患者和幼儿应给予就诊特权
202,太壹c：我妈跟我弟每天也是打针 床位需要医院统一发配吧 全部都要预约才行，病患真的太多了 我怕拖下去 家里两个老人 还有我爸都感染 家里84也买不到 好无能为力
203,妹妹吃肉：现在怎么样了。有得到帮助吗
204,S孙娟：政府抓紧完善病疫机制吧，这些病人也是无辜的，无辜被传染已经无奈至极，让这些病人得到救治吧！
205,VVVV_78508：武汉的病人太难了
206,不见林觉民：你们还在责怪他们跑出来吗？是人为了保命都会跑出来，无论是有病没病。出来有病其他省还有资源，在里面没床位只有等死
207,Abyssal_：往外地医疗资源相对不紧张的地方跑，就会被骂害人；市内没有床位。 这就是要人等死。
208,Jiahong_Mandarin：那两个医院也才2000个床位，看来看病的问题仍没解决，确实难
209,M婧婧-227：各种交叉感染，不扩散才怪呢，怪不得武汉要封城呢，根本控制不住啦。
210,鬼鬼嬼：这些才是最真实的武汉市现状！！此类事情就在眼前发生、无数的想哭
211,长安理想：武汉政府现在还不想法统筹安排这些患者，是在干什么！！疫情严重到何种程度已完全可以想象！
212,孟浩平：还好有医院马上就建好了
213,雷秀曼敦：不再歌颂了？就应该去帮助这些有需求的人。
214,lbcanon：还没有床位
215,SHOUSHOU如初：各地支援那么多医生能解决问题根本吗？能上门服务吗？在家隔离？就跟外国的家庭医生一样
216,西马庄村民：火神山、雷神山在和死神赛跑。
217,一枝空谷幽兰：诶，咋办啊
218,角落里的灵魂17：这个才真实
219,周杰伦不需要做数据：这也太真实了
220,行水穷看云起53834：好多我们都不知道的事一直在上演着
221,鬼佬卖桔：可能医院认为折腾了3天都还活着！可能不会有事！
222,Liz_Ray：只求各大媒体能多报道类似这样的新闻，帮帮他们啊！
223,凯旋的微博：说真话真好，知道弱点在哪里，好提高警惕
224,上班睡觉打篮球-：哎
225,麦秆鱼：谢谢
226,我是自由者2010：转发微博
227,有时候需要模棱两可：唉 太多媒体没有正面报道 凤凰挺住 武汉加油。
228,夜舞雪：@人民日报 @紫光阁 @人民网 @央视新闻 @头条新闻 @中国长安网 @观察者网 @环球网 @环球时报 @最高人民检察院
229,miffydeLCF：相信这些都是真的……看病难啊 希望速速解决
230,qdhsco：这种时候，还是看凤凰
231,我是美妙girl：这移动传染源还在移动啊，怎么能不新增呢，真是揪心啊
232,WBH5659：让人心寒！
233,我的圆脸啊：
234,一直小小咖：这个真的是没办法还是不收
235,chaseyunwu：这样的病人有多少？
236,小Q9876543210：微博求助的都不少，更何况没上来求助的…很无奈
237,Vonnie酱酱起：很多
238,0000QyfDK：巧妇难为无米之炊，医院也无可奈何。所以现在建筑公司也一刻不停啊！
239,All-in-Or-Nothing：周、马还他么在嘴硬，草菅人命
240,华灯初上夜未央人已散：就这种现状下，竟然还有伤医的！！！！！
241,小小Panda穿花衣：唉，其实我们猜也猜到是这个情况，但是医院也没办法了
242,水云儿的家：医疗物资缺乏病人多，这就是现状
243,吃个橘子Ad：转发微博
244,和顺-顺和：ZG速度
245,可热民间：报道事实，才能解决事情，压力下当地官员才能干实事
246,冢熊eleven：终于看到大的媒体能报道一线真实情况了
247,雙胞胎步步遥遥：好可怕。
248,清风瞿瞿：f 4还木有下课的？
249,晓晓大儿童：不止这一家有这情况
250,矿泉水十三：凤凰网以后绝对是中国媒体的龙头老大
251,李小神仙：这样怎么样控制？
252,我也没辙1234567：加油凤凰网，你每多发一条内容，武汉就多一张床位
253,我的头像为什么是黑的：看到有人发的截图，已经有人盗卖捐赠口罩了！但不知道怎么举报
254,慕流玥：我在武汉的对象外公检查确诊双阳已经呼吸困难缺氧了，需要用到医院的氧气，外婆也发热了，虽然结果没有下来但几乎可以确认了，家人和老人天天相处危险性也很高，除了每天去医院打针，根本没有床位来隔离和治疗，家人也得不到所谓的什么医学观察，完全就靠自己抵抗，谁能帮助他们救救他们
255,梨小夕：转发微博
256,那湛藍色的天：，，，，
257,风之牧者V：没在医院的病人有没有统计到患病的数据里，没在医院去世的病人是否计算了
258,Tongt1：武汉加油吖
259,听说我是孙：这种报道麻烦来一筐
260,梦茜茜姊：应该把从基础最好预防  以防交叉感染   传染率越来越高
261,无限小数的理想：这就是现状，感染人群无法马上收治隔离，还在外面飘
262,vivi周很忙碌：最可怕的是还要到医院看病…互相交叉感染
263,miss太阳hyf：病人还到处求医走动也很可怕的，传染给了更多人。
264,毛三岁的毛：@猫猫大毛
265,好风长吟No1：终于知道为什么封城前放出消息了。。。
