日期,内容
2020-05-25,还好意思出来？
2020-05-25,分不清艺术生和艺术特长生？
2020-05-25,艺术生气质是不一样嗷
2020-05-25,问问美国我不信他们什么都不知道
2020-05-25,无中生有？
2020-05-25,好像是WIV1，当时发表在nature上
2020-05-25,这个问题其实蛮尖锐的，关系到一个病毒库管理统计的问题
2020-05-25,这句话有点败笔了...这个突变不是指哪儿打哪儿，而且打哪儿指哪儿
2020-05-25,其实从病毒基因组大小看，96%算很接近了
2020-05-25,美国制造
2020-05-25,现有的病毒，有可能泄露吗
2020-05-25,征字写错了吗
2020-05-25,时光机
2020-05-25,1：42的英语翻译错了，应该翻成covid-19
2020-05-25,那是谁说蝙蝠的，现在都说是蝙蝠啊
2020-05-25,弹幕来了！！！
2020-05-25,高考画重点
2020-05-25,2333333
2020-05-25,你美国敢开放特里克堡生化研究所吗？
2020-05-25,sans
2020-05-25,98%左右
2020-05-25,颜值确实是高。。
2020-05-25,相当于单体常染色体1%的序列（中国以前参与的测序数就是1%）
2020-05-25,川普:FAKENEWSNEXT(手动doge)
2020-05-25,讲个恐怖的东西，人和猩猩的基因相似度达到了98.8％
2020-05-25,国外的政客别有用心
2020-05-25,有证据就发出来，没证据就别逼逼
2020-05-25,有证据吗，发出来。
2020-05-25,高考题
2020-05-25,看来是RaTG13整合到蝙蝠细胞基因组的情况下测得了序列
2020-05-25,都是次方的可能性
2020-05-25,这不是一个人换了套衣服吗？
2020-05-25,假报道，下一个（doge）
2020-05-25,老艺术生了
2020-05-25,说的好明白了
2020-05-25,保密画质
2020-05-25,哈哈哈不知道为什么有些想笑
2020-05-25,02.
2020-05-25,人和猩猩还98%呢
2020-05-25,福尔摩斯？
2020-05-25,特长
2020-05-25,大提琴所长
2020-05-25,全凭努力王所长
2020-05-25,23333
2020-05-25,你又没她的学历，同样外貌也比不上人家，就开始看留言就诋毁女科学家
2020-05-25,纠正新冠（一声）病毒
2020-05-25,可以看看采访内容吗？
2020-05-25,弹幕恶意太大了吧
2020-05-25,保护
2020-05-25,我相信
2020-05-25,基因突变具有不定向性，低频性
2020-05-25,姐姐好好看
2020-05-25,有
2020-05-25,我觉得时间会告诉我答案
2020-05-25,特朗普；莫有人比我更懂中国（狗头）
2020-05-25,所长这么年轻啊
2020-05-25,4的1100次方
2020-05-25,差很远啊
2020-05-25,嗯
2020-05-25,所长颜值好高
2020-05-25,DNASTAR+MAGE5直呼内行
2020-05-25,你是在无中生有
2020-05-25,什么鬼
2020-05-25,老艺术生了
2020-05-25,讲个笑话美国绅士
2020-05-25,这个提问也很有针对性啊
2020-05-25,哇，這兩人聲音好像
2020-05-25,人和大猩猩基因相似好像都比96高吧？
2020-05-25,阴谋论不就是这样吗，专业知识啥也不懂，反正就靠主观臆断在网络上大呼小叫
2020-05-25,好漂亮的小姐姐
2020-05-25,谢谢科普
2020-05-25,好年轻啊
2020-05-25,受到一万点暴击
2020-05-25,握草辛苦啊！
2020-05-25,美国全球各地那么多生物实验室，他们给解释了吗？
2020-05-25,什么时候检测完的？
2020-05-25,非医学生的纯文科生理解了
2020-05-25,所以好好起名字，不然被人抓把柄
2020-05-25,有
2020-05-25,美国说我们坐时光机偷的
2020-05-25,那从这段对话得出其中的一个结论是，还不确定是来自于蝙蝠。。。
2020-05-25,回答得很清楚了
2020-05-25,我们正面回应了，美国也请正面回应它的实验室的问题
